Messstelle:                ;Wagnitz, Blt 35485
HZB-Nummer:                ;329755
HD-Nummer:                 ;uw35485
DBMS-Nummer:               ;6002628
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1984
 Geländehöhe:              ;323,18
 Messpunkthöhe:            ;324,18
 Sohllage:                 ;318,38
 T-Messtiefe u.GOK:        ;4,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 28 12                 ;46 59 18
  01.01.1984               ;15 28 12                 ;46 59 18
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
25.02.1985 07:01:00   ;   320,42 ;     
10.03.1986 07:01:00   ;   320,60 ;     
02.02.1987 07:01:00   ;   320,52 ;     
21.03.1988 07:01:00   ;   320,77 ;     
20.02.1989 07:01:00   ;   320,68 ;     
26.02.1990 07:01:00   ;   320,92 ;     
25.02.1991 07:01:00   ;   320,84 ;     
31.08.1992 07:01:00   ;   321,02 ;     
28.06.1993 07:01:00   ;   320,94 ;     
26.12.1994 07:01:00   ;   321,01 ;     
23.01.1995 07:01:00   ;   320,93 ;     
04.03.1996 07:01:00   ;   320,87 ;     
17.02.1997 07:01:00   ;   321,07 ;     
23.02.1998 07:01:00   ;   320,91 ;     
22.02.1999 07:01:00   ;   320,92 ;     
31.01.2000 07:01:00   ;   320,86 ;     
31.12.2001 23:59:55   ;   320,65 ;     
21.01.2002 07:01:00   ;   320,58 ;     
29.12.2003 07:01:00   ;   320,72 ;     
02.02.2004 07:01:00   ;   320,61 ;     
07.03.2005 07:01:00   ;   320,66 ;     
13.03.2006 07:01:00   ;   320,67 ;     
15.01.2007 07:01:00   ;   320,79 ;     
25.02.2008 07:01:00   ;   320,69 ;     
26.01.2009 07:01:00   ;   320,78 ;     
27.12.2010 07:01:00   ;   320,81 ;     
14.02.2011 07:01:00   ;   320,70 ;     
13.02.2012 07:01:00   ;   320,81 ;     
22.09.2013 15:00:00   ;   321,17 ;     
21.07.2014 09:00:00   ;   321,22 ;     
06.07.2015 15:00:00   ;   321,15 ;     
08.02.2016 09:00:00   ;   321,18 ;     
01.09.2017 09:00:00   ;   321,13 ;     
30.01.2018 09:00:00   ;   321,13 ;     
04.10.2019 06:00:00   ;   320,93 ;     
10.04.2020 09:00:00   ;   321,02 ;     
13.10.2021 15:00:00   ;   320,94 ;     
